País,Competición,Categoría,Temporada,Jornada,Equipo 1,Resultado,Equipo 2
España,La Liga,1ª división,2012-2013,1,Celta,0-1,Málaga
España,La Liga,1ª división,2012-2013,1,Sevilla,2-1,Getafe
España,La Liga,1ª división,2012-2013,1,Mallorca,2-1,Espanyol
España,La Liga,1ª división,2012-2013,1,R. Madrid,1-1,Valencia
España,La Liga,1ª división,2012-2013,1,Athletic,3-5,Betis
España,La Liga,1ª división,2012-2013,1,FC Barcelona,5-1,R. Sociedad
España,La Liga,1ª división,2012-2013,1,Levante,1-1,Atlético
España,La Liga,1ª división,2012-2013,1,Deportivo,2-0,Osasuna
España,La Liga,1ª división,2012-2013,1,Rayo,1-0,Granada
España,La Liga,1ª división,2012-2013,1,Zaragoza,0-1,Valladolid
España,La Liga,1ª división,2012-2013,2,R. Sociedad,2-1,Celta
España,La Liga,1ª división,2012-2013,2,Betis,1-2,Rayo
España,La Liga,1ª división,2012-2013,2,Espanyol,1-2,Zaragoza
España,La Liga,1ª división,2012-2013,2,Málaga,1-1,Mallorca
España,La Liga,1ª división,2012-2013,2,Osasuna,1-2,FC Barcelona
España,La Liga,1ª división,2012-2013,2,Getafe,2-1,R. Madrid
España,La Liga,1ª división,2012-2013,2,Granada,1-1,Sevilla
España,La Liga,1ª división,2012-2013,2,Valencia,3-3,Deportivo
España,La Liga,1ª división,2012-2013,2,Valladolid,2-0,Levante
España,La Liga,1ª división,2012-2013,2,Atlético,4-0,Athletic
España,La Liga,1ª división,2012-2013,3,Celta,2-0,Osasuna
España,La Liga,1ª división,2012-2013,3,Zaragoza,0-1,Málaga
España,La Liga,1ª división,2012-2013,3,Deportivo,1-1,Getafe
España,La Liga,1ª división,2012-2013,3,Mallorca,1-0,R. Sociedad
España,La Liga,1ª división,2012-2013,3,Rayo,0-0,Sevilla
España,La Liga,1ª división,2012-2013,3,Athletic,2-0,Valladolid
España,La Liga,1ª división,2012-2013,3,Levante,3-2,Espanyol
España,La Liga,1ª división,2012-2013,3,R. Madrid,3-0,Granada
España,La Liga,1ª división,2012-2013,3,FC Barcelona,1-0,Valencia
España,La Liga,1ª división,2012-2013,4,Málaga,3-1,Levante
España,La Liga,1ª división,2012-2013,4,Valencia,2-1,Celta
España,La Liga,1ª división,2012-2013,4,Getafe,1-4,FC Barcelona
España,La Liga,1ª división,2012-2013,4,Sevilla,1-0,R. Madrid
España,La Liga,1ª división,2012-2013,4,Espanyol,3-3,Athletic
España,La Liga,1ª división,2012-2013,4,Granada,1-1,Deportivo
España,La Liga,1ª división,2012-2013,4,Osasuna,1-1,Mallorca
España,La Liga,1ª división,2012-2013,4,R. Sociedad,2-0,Zaragoza
España,La Liga,1ª división,2012-2013,4,Atlético,4-3,Rayo
España,La Liga,1ª división,2012-2013,4,Valladolid,0-1,Betis
España,La Liga,1ª división,2012-2013,5,Zaragoza,3-1,Osasuna
España,La Liga,1ª división,2012-2013,5,Celta,2-1,Getafe
España,La Liga,1ª división,2012-2013,5,Betis,1-0,Espanyol
España,La Liga,1ª división,2012-2013,5,FC Barcelona,2-0,Granada
España,La Liga,1ª división,2012-2013,5,Mallorca,2-0,Valencia
España,La Liga,1ª división,2012-2013,5,Levante,2-1,R. Sociedad
España,La Liga,1ª división,2012-2013,5,Atlético,2-1,Valladolid
España,La Liga,1ª división,2012-2013,5,Athletic,0-0,Málaga
España,La Liga,1ª división,2012-2013,5,Rayo,21:30 - 23/09,R. Madrid
España,La Liga,1ª división,2012-2013,5,Rayo,0-2,R. Madrid
España,La Liga,1ª división,2012-2013,5,Deportivo,0-2,Sevilla
España,La Liga,1ª división,2012-2013,6,Betis,2-4,Atlético
España,La Liga,1ª división,2012-2013,6,Valencia,2-0,Zaragoza
España,La Liga,1ª división,2012-2013,6,Málaga,4-0,Betis
España,La Liga,1ª división,2012-2013,6,R. Sociedad,2-0,Athletic
España,La Liga,1ª división,2012-2013,6,Sevilla,2-3,FC Barcelona
España,La Liga,1ª división,2012-2013,6,Granada,2-1,Celta
España,La Liga,1ª división,2012-2013,6,Valladolid,6-1,Rayo
España,La Liga,1ª división,2012-2013,6,Osasuna,4-0,Levante
España,La Liga,1ª división,2012-2013,6,R. Madrid,5-1,Deportivo
España,La Liga,1ª división,2012-2013,6,Espanyol,0-1,Atlético
España,La Liga,1ª división,2012-2013,6,Getafe,1-0,Mallorca
España,La Liga,1ª división,2012-2013,7,Celta,2-0,Sevilla
España,La Liga,1ª división,2012-2013,7,Rayo,2-1,Deportivo
España,La Liga,1ª división,2012-2013,7,Zaragoza,0-1,Getafe
España,La Liga,1ª división,2012-2013,7,Valladolid,1-1,Espanyol
España,La Liga,1ª división,2012-2013,7,Betis,2-0,R. Sociedad
España,La Liga,1ª división,2012-2013,7,Levante,1-0,Valencia
España,La Liga,1ª división,2012-2013,7,Mallorca,1-2,Granada
España,La Liga,1ª división,2012-2013,7,Athletic,1-0,Osasuna
España,La Liga,1ª división,2012-2013,7,FC Barcelona,2-2,R. Madrid
España,La Liga,1ª división,2012-2013,7,Atlético,2-1,Málaga
España,La Liga,1ª división,2012-2013,8,Málaga,2-1,Valladolid
España,La Liga,1ª división,2012-2013,8,R. Madrid,2-0,Celta
España,La Liga,1ª división,2012-2013,8,Valencia,3-2,Athletic
España,La Liga,1ª división,2012-2013,8,Deportivo,4-5,FC Barcelona
España,La Liga,1ª división,2012-2013,8,Getafe,0-1,Levante
España,La Liga,1ª división,2012-2013,8,Espanyol,3-2,Rayo
España,La Liga,1ª división,2012-2013,8,Granada,1-2,Zaragoza
España,La Liga,1ª división,2012-2013,8,Osasuna,0-0,Betis
España,La Liga,1ª división,2012-2013,8,R. Sociedad,0-1,Atlético
España,La Liga,1ª división,2012-2013,8,Sevilla,3-2,Mallorca
España,La Liga,1ª división,2012-2013,9,Espanyol,0-0,Málaga
España,La Liga,1ª división,2012-2013,9,Betis,1-0,Valencia
España,La Liga,1ª división,2012-2013,9,Celta,1-1,Deportivo
España,La Liga,1ª división,2012-2013,9,Rayo,0-5,FC Barcelona
España,La Liga,1ª división,2012-2013,9,Zaragoza,2-1,Sevilla
España,La Liga,1ª división,2012-2013,9,Levante,3-1,Granada
España,La Liga,1ª división,2012-2013,9,Athletic,1-2,Getafe
España,La Liga,1ª división,2012-2013,9,Atlético,3-1,Osasuna
España,La Liga,1ª división,2012-2013,9,Mallorca,0-5,R. Madrid
España,La Liga,1ª división,2012-2013,9,Valladolid,2-2,R. Sociedad
España,La Liga,1ª división,2012-2013,10,Málaga,1-2,Rayo
España,La Liga,1ª división,2012-2013,10,FC Barcelona,3-1,Celta
España,La Liga,1ª división,2012-2013,10,R. Madrid,4-0,Zaragoza
España,La Liga,1ª división,2012-2013,10,Valencia,2-0,Atlético
España,La Liga,1ª división,2012-2013,10,R. Sociedad,0-1,Espanyol
España,La Liga,1ª división,2012-2013,10,Deportivo,1-0,Mallorca
España,La Liga,1ª división,2012-2013,10,Osasuna,0-1,Valladolid
España,La Liga,1ª división,2012-2013,10,Granada,1-2,Athletic
España,La Liga,1ª división,2012-2013,10,Sevilla,0-0,Levante
España,La Liga,1ª división,2012-2013,10,Getafe,2-4,Betis
España,La Liga,1ª división,2012-2013,11,Betis,1-2,Granada
España,La Liga,1ª división,2012-2013,11,Rayo,3-2,Celta
España,La Liga,1ª división,2012-2013,11,Espanyol,0-3,Osasuna
España,La Liga,1ª división,2012-2013,11,Zaragoza,5-3,Deportivo
España,La Liga,1ª división,2012-2013,11,Málaga,1-2,R. Sociedad
España,La Liga,1ª división,2012-2013,11,Valladolid,1-1,Valencia
España,La Liga,1ª división,2012-2013,11,Athletic,2-1,Sevilla
España,La Liga,1ª división,2012-2013,11,Mallorca,2-4,FC Barcelona
España,La Liga,1ª división,2012-2013,11,Atlético,2-0,Getafe
España,La Liga,1ª división,2012-2013,11,Levante,1-2,R. Madrid
España,La Liga,1ª división,2012-2013,12,Osasuna,0-0,Málaga
España,La Liga,1ª división,2012-2013,12,Valencia,2-1,Espanyol
España,La Liga,1ª división,2012-2013,12,FC Barcelona,3-1,Zaragoza
España,La Liga,1ª división,2012-2013,12,R. Madrid,5-1,Athletic
España,La Liga,1ª división,2012-2013,12,Deportivo,0-2,Levante
